Key,File
FE_0_F_BINDING_BUTTON2,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\Inspector\widget\LocalizationKey\LocalizationKeyEditor.vue
FE_0_F_BINDING_BUTTON2,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\Release\views\Prepare.vue
FE_0_F_BINDING_BUTTON3,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\Login\platformaccount.vue
FE_0_F_BINDING_NICKNAME,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\Login\platformaccount.vue
FE_0_F_BINDING_NULL_NOTICE,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\GameDataViewer\gameDataView.vue
FE_0_F_BINDING_NULL_NOTICE,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\ResourceStores\MyResources.vue
FE_0_F_BINDING_NULL_NOTICE,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\ResourceStores\ResourceStore.vue
FE_0_F_BINDING_NULL_NOTICE,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\ResourceStores\SelectMyStoreAsset.vue
FE_0_F_BINDING_NULL_NOTICE,D:\p4_workspace\Branch\FF_RCT\GGC\src\extensions\BatchUploadStore\components\BatchUploadStoreVue.vue
FE_0_F_BINDING_SUCCESS,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\Login\platformaccount.vue
FE_0_F_BINDING_TIPS,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\Login\platformaccount.vue
FE_0_F_BINDING_UNBIND_TIPS,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\Login\platformaccount.vue
FE_0_F_BUTTON_CANCEL,D:\p4_workspace\Branch\FF_RCT\GGC\src\app\launcherview\LauncherViewMain.ts
FE_0_F_BUTTON_CANCEL,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\Editor\Scene\component\NewScene.vue
FE_0_F_BUTTON_CANCEL,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\Editor\UIViewer\components\AspectRadioManage.vue
FE_0_F_BUTTON_CANCEL,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\Login\login.vue
FE_0_F_BUTTON_CANCEL,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\ModificationMananger\components\Shop\ShopDialog\ShopAttributeDialog.vue
FE_0_F_BUTTON_CANCEL,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\QuickNamingFC\QuickNamingFC.vue
FE_0_F_BUTTON_CANCEL,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\Release\views\Form.vue
FE_0_F_BUTTON_CANCEL,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\ResourceStores\MyAssetOps.vue
FE_0_F_BUTTON_CANCEL,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\ResourceStores\UploadResource.vue
FE_0_F_BUTTON_CANCEL,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\Terrain\CreateTerrain.vue
FE_0_F_BUTTON_CANCEL,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\customDialog\CustomFileListDialog.vue
FE_0_F_BUTTON_CANCEL,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\modules\Dialog\Dialog.ts
FE_0_F_BUTTON_CANCEL,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\project\SaveNoticeDialog.vue
FE_0_F_BUTTON_CONFIRM,D:\p4_workspace\Branch\FF_RCT\GGC\src\app\launcherview\LauncherViewMain.ts
FE_0_F_BUTTON_CONFIRM,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\Editor\Scene\component\NewScene.vue
FE_0_F_BUTTON_CONFIRM,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\Editor\UIViewer\components\AspectRadioManage.vue
FE_0_F_BUTTON_CONFIRM,D:\p4_workspace\Branch\FF_RCT\GGC\src\components\ReleaseNote\ReleaseNote.vue
